iter	RMSE	Tweedie:variance_power=1.3
0	9616.467158	6167.654539
1	9616.433526	5867.685833
2	9616.399909	5582.448374
3	9616.366306	5311.225266
4	9616.33272	5053.342198
5	9616.299152	4808.158312
6	9616.265606	4575.064431
7	9616.232078	4353.44622
8	9616.19858	4142.817999
9	9616.16511	3942.624782
10	9616.131672	3752.366399
11	9616.098258	3571.498699
12	9616.064891	3399.705007
13	9616.031566	3236.487838
14	9615.998285	3081.437096
15	9615.965033	2934.046902
16	9615.931853	2794.175541
17	9615.898731	2661.360067
18	9615.865671	2535.264301
19	9615.832624	2415.262106
20	9615.799657	2301.399051
21	9615.766768	2193.347278
22	9615.73401	2091.059253
23	9615.701347	1994.05013
24	9615.66875	1901.896658
25	9615.636265	1814.54714
26	9615.60393	1731.865394
27	9615.571717	1653.488589
28	9615.539619	1579.133181
29	9615.507698	1508.842168
30	9615.475982	1442.447641
31	9615.444406	1379.461069
32	9615.413111	1320.195032
33	9615.382071	1264.284638
34	9615.3513	1211.57223
35	9615.320801	1161.879251
36	9615.29055	1114.797241
37	9615.260683	1070.629262
38	9615.231196	1029.134687
39	9615.202144	990.2790747
40	9615.173554	953.9382826
41	9615.145461	919.9683543
42	9615.117909	888.3010112
43	9615.090934	858.7297904
44	9615.064586	831.2581281
45	9615.03892	805.8884503
46	9615.013975	782.4059531
47	9614.989807	760.8070175
48	9614.966378	740.8017147
49	9614.943804	722.5298479
50	9614.922051	705.789146
51	9614.901149	690.4476402
52	9614.881111	676.5197883
53	9614.862005	663.8701832
54	9614.843722	652.3635775
55	9614.826315	641.9370527
56	9614.809763	632.5212242
57	9614.794049	624.0389408
58	9614.779128	616.3415688
59	9614.765102	609.4740255
60	9614.751782	603.2425647
61	9614.73918	597.6338163
62	9614.727281	592.5651462
63	9614.716069	588.0049985
64	9614.705496	583.9273746
65	9614.695512	580.264026
66	9614.686155	577.0107009
67	9614.677326	574.0652795
68	9614.668979	571.3975852
69	9614.661109	569.0182065
70	9614.653702	566.8829785
71	9614.646757	565.0020011
72	9614.640138	563.2508588
73	9614.633891	561.6871334
74	9614.627999	560.2481821
75	9614.622442	558.9565184
76	9614.617225	557.791395
77	9614.612256	556.6941233
