iter	Passed	Remaining
0	65	65195
1	142	70912
2	216	72007
3	294	73275
4	373	74314
5	450	74640
6	522	74185
7	598	74214
8	676	74525
9	757	74945
10	837	75308
11	916	75444
12	1007	76491
13	1083	76274
14	1158	76075
15	1239	76240
16	1315	76074
17	1387	75717
18	1465	75664
19	1538	75375
20	1623	75680
21	1706	75873
22	1786	75883
23	1854	75432
24	1921	74955
25	2014	75466
26	2098	75638
27	2161	75038
28	2239	74993
29	2313	74804
30	2394	74832
31	2481	75080
32	2562	75094
33	2639	74980
34	2717	74927
35	2798	74947
36	2882	75026
37	2968	75140
38	3043	74986
39	3119	74874
40	3211	75112
41	3301	75300
42	3381	75262
43	3464	75268
44	3547	75291
45	3634	75382
46	3733	75699
47	3821	75784
48	3900	75702
49	3972	75474
50	4055	75472
51	4136	75420
52	4232	75631
53	4327	75804
54	4411	75797
55	4489	75686
56	4565	75531
57	4646	75466
58	4723	75343
59	4803	75258
60	4893	75323
61	4984	75412
62	5067	75366
63	5142	75204
64	5226	75180
65	5293	74907
66	5374	74847
67	5452	74735
68	5533	74667
69	5616	74616
70	5695	74525
71	5790	74638
72	5878	74650
73	5955	74524
74	6041	74515
75	6127	74501
76	6213	74483
77	6293	74388
78	6371	74275
79	6452	74203
80	6549	74313
81	6631	74237
82	6721	74262
83	6807	74234
84	6880	74067
85	6958	73957
86	7037	73858
87	7121	73803
88	7202	73723
89	7283	73645
90	7366	73588
91	7449	73521
92	7535	73492
93	7624	73483
94	7702	73376
95	7789	73349
96	7865	73226
97	7938	73068
98	8020	72991
99	8106	72955
100	8187	72876
101	8262	72738
102	8375	72939
103	8463	72914
104	8540	72799
105	8622	72722
106	8713	72724
107	8787	72574
108	8873	72538
109	8971	72590
110	9051	72494
111	9132	72407
112	9216	72341
113	9293	72226
114	9374	72142
115	9462	72112
116	9557	72128
117	9643	72081
118	9723	71985
119	9806	71912
120	9883	71795
121	9969	71748
122	10084	71906
123	10191	71999
124	10280	71960
125	10363	71889
126	10459	71899
127	10552	71890
128	10638	71831
129	10722	71759
130	10810	71715
131	10895	71644
132	10990	71643
133	11071	71549
134	11156	71485
135	11254	71500
136	11336	71412
137	11436	71437
138	11564	71632
139	11661	71633
140	11745	71553
141	11817	71402
142	11905	71347
143	11984	71239
144	12071	71181
145	12155	71102
146	12248	71074
147	12327	70967
148	12426	70970
149	12511	70901
150	12586	70766
151	12688	70790
152	12793	70826
153	12897	70851
154	12997	70858
155	13077	70754
156	13159	70659
157	13246	70594
158	13323	70472
159	13397	70337
160	13483	70262
161	13564	70167
162	13648	70083
163	13731	69998
164	13812	69897
165	13906	69865
166	14006	69865
167	14124	69951
168	14212	69887
169	14313	69882
170	14413	69876
171	14506	69834
172	14588	69738
173	14674	69660
174	14790	69724
175	14873	69633
176	14963	69578
177	15051	69509
178	15134	69417
179	15220	69338
180	15339	69408
181	15428	69341
182	15521	69296
183	15626	69299
184	15751	69392
185	15833	69293
186	15926	69242
187	16019	69191
188	16106	69111
189	16192	69030
190	16277	68943
191	16375	68915
192	16461	68832
193	16547	68749
194	16625	68635
195	16705	68527
196	16785	68420
197	16888	68405
198	16970	68308
199	17061	68244
200	17144	68150
201	17235	68089
202	17328	68033
203	17422	67982
204	17521	67948
205	17626	67939
206	17736	67948
207	17824	67870
208	17924	67836
209	18009	67749
210	18087	67635
211	18178	67568
212	18274	67520
213	18356	67421
214	18449	67362
215	18539	67293
216	18633	67233
217	18713	67126
218	18801	67050
219	18879	66935
220	18965	66852
221	19058	66790
222	19154	66739
223	19256	66711
224	19340	66616
225	19427	66533
226	19506	66424
227	19585	66315
228	19670	66227
229	19754	66135
230	19837	66039
231	19916	65929
232	20008	65863
233	20104	65813
234	20192	65733
235	20271	65624
236	20352	65522
237	20427	65403
238	20525	65353
239	20608	65259
240	20680	65131
241	20763	65037
242	20858	64979
243	20944	64894
244	21024	64789
245	21102	64679
246	21187	64592
247	21272	64504
248	21348	64388
249	21429	64289
250	21504	64170
251	21587	64078
252	21667	63974
253	21751	63884
254	21830	63780
255	21911	63681
256	22003	63613
257	22083	63511
258	22172	63436
259	22254	63338
260	22339	63253
261	22418	63148
262	22500	63052
263	22581	62954
264	22667	62869
265	22763	62812
266	22843	62712
267	22923	62612
268	23007	62522
269	23089	62428
270	23184	62366
271	23287	62329
272	23364	62220
273	23442	62114
274	23524	62019
275	23599	61906
276	23681	61811
277	23762	61714
278	23848	61630
279	23967	61630
280	24075	61602
281	24165	61527
282	24256	61454
283	24389	61490
284	24491	61444
285	24580	61365
286	24669	61287
287	24748	61183
288	24838	61109
289	24978	61153
290	25112	61184
291	25242	61203
292	25331	61123
293	25433	61074
294	25540	61037
295	25637	60975
296	25730	60903
297	25812	60807
298	25890	60700
299	25988	60638
300	26080	60566
301	26176	60500
302	26279	60452
303	26362	60356
304	26441	60251
305	26535	60181
306	26622	60096
307	26728	60053
308	26860	60067
309	26944	59974
310	27025	59873
311	27099	59757
312	27179	59656
313	27250	59533
314	27326	59424
315	27395	59298
316	27474	59195
317	27576	59141
318	27662	59053
319	27748	58965
320	27823	58853
321	27900	58747
322	27980	58645
323	28054	58534
324	28142	58449
325	28214	58332
326	28298	58241
327	28376	58136
328	28485	58096
329	28568	58001
330	28648	57902
331	28748	57842
332	28825	57738
333	28914	57655
334	28989	57545
335	29078	57463
336	29161	57371
337	29264	57317
338	29347	57223
339	29428	57125
340	29507	57025
341	29583	56917
342	29654	56801
343	29727	56689
344	29830	56634
345	29921	56556
346	29996	56448
347	30096	56388
348	30172	56282
349	30253	56184
350	30330	56080
351	30419	56000
352	30502	55906
353	30581	55806
354	30668	55721
355	30747	55621
356	30820	55511
357	30909	55429
358	31002	55356
359	31084	55260
360	31165	55166
361	31239	55057
362	31319	54960
363	31412	54886
364	31494	54791
365	31578	54702
366	31672	54628
367	31754	54534
368	31841	54450
369	31919	54348
370	31995	54244
371	32070	54139
372	32145	54034
373	32259	53995
374	32339	53899
375	32415	53795
376	32486	53684
377	32562	53581
378	32636	53475
379	32718	53383
380	32797	53284
381	32876	53187
382	32968	53111
383	33052	53020
384	33128	52919
385	33202	52813
386	33306	52757
387	33384	52657
388	33466	52566
389	33557	52487
390	33629	52378
391	33729	52315
392	33808	52218
393	33895	52134
394	33994	52067
395	34088	51993
396	34176	51910
397	34272	51838
398	34358	51753
399	34445	51668
400	34540	51594
401	34645	51537
402	34745	51471
403	34855	51420
404	34967	51372
405	35138	51409
406	35258	51371
407	35377	51331
408	35475	51261
409	35619	51257
410	35716	51184
411	35808	51105
412	35963	51115
413	36098	51095
414	36203	51033
415	36297	50955
416	36422	50922
417	36530	50862
418	36624	50784
419	36704	50686
420	36807	50621
421	36913	50559
422	36997	50467
423	37087	50383
424	37159	50275
425	37234	50170
426	37322	50083
427	37412	50000
428	37490	49899
429	37579	49814
430	37695	49764
431	37780	49674
432	37855	49570
433	37942	49482
434	38022	49385
435	38106	49294
436	38185	49195
437	38286	49126
438	38368	49030
439	38450	48936
440	38538	48849
441	38617	48752
442	38706	48667
443	38782	48564
444	38861	48468
445	38942	48372
446	39033	48289
447	39123	48205
448	39198	48103
449	39273	48000
450	39347	47896
451	39436	47812
452	39514	47714
453	39599	47624
454	39682	47531
455	39759	47432
456	39836	47333
457	39936	47261
458	40017	47166
459	40098	47072
460	40179	46977
